,Id,Name,placeOfBirth,Gender,DateAcquired
698,671,Conrad Atkinson,United Kingdom,Male,1988
708,2412,John Augustus Atkinson,United Kingdom,Male,1997
709,672,Lawrence Atkinson,0,Male,1965
710,11829,Terry Atkinson,United Kingdom,Male,2008
711,673,Jean-Michel Atlan,Al-Jaza'ir,Male,1959
712,15557,Charles Atlas,United States,Male,2013
713,13674,Kader Attia,France,Male,2010
716,674,Clare Atwood,United Kingdom,Female,1937
717,675,Arnold Auerbach,United Kingdom,Male,1985
719,676,Frank Auerbach,Germany,Male,1961
795,14648,Mathias Augustyniak,France,Male,0
796,15,James Aumonier,0,Male,1889
798,2398,David Austen,United Kingdom,Male,1996
809,677,Robert Austin,United Kingdom,Male,1926
813,5711,Richard Avedon,United States,Male,2010
814,10764,Charles Avery,United Kingdom,Male,2012
815,678,Milton Avery,United States,Male,1985
817,2714,François Antoine Aviline,0,Male,0
818,2479,Heneage Finch Aylesford  Fifth Earl of,0,Male,1997
819,2480,Heneage Finch Aylesford  Fourth Earl of,0,Male,1996
869,679,Pierre Ayot,Canada,Male,1976
870,680,OBE Gillian Ayres,United Kingdom,Female,1975
885,681,Michael Ayrton,United Kingdom,Male,1975
896,14743,Ayman Baalbaki,Al-Lubnan,Male,2012
897,13866,Miriam Bäckström,Sweden,Female,0
898,682,Francis Bacon,Ireland,Male,1950
948,683,John Henry F. Bacon,United Kingdom,Male,1971
949,2370,Sir Nathaniel Bacon,0,Male,1995
950,684,Jo Baer,United States,Female,1980
951,685,Olle Baertling,Sweden,Male,1965
953,16,Edward Hodges Baily,United Kingdom,Male,1847
955,686,Enrico Baj,Italia,Male,1978
957,13678,Mahmoud Bakhshi Moakhar,Îran,Male,2010
958,687,John Baldessari,United States,Male,1983
971,2360,Miroslaw Balka,Poland,Male,1995
983,688,Giacomo Balla,Italia,Male,1970
984,12038,Roger Ballen,United States,Male,2010
985,5373,Lewis Baltz,United States,Male,2013
989,690,Jef Banc,France,Male,1960
990,2687,Fiona Banner,United Kingdom,Female,2013
997,691,John Banting,United Kingdom,Male,1972
1004,692,Stefan Baran,France,Male,1975
1006,4731,Claire Barclay,United Kingdom,Female,2012
1010,18,James Barenger,United Kingdom,Male,1979
1011,12686,Anna Barham,United Kingdom,Female,2012
1012,693,Clive Barker,United Kingdom,Male,1976
1016,694,Margaret Barker,United Kingdom,Female,1929
1017,19,Thomas Barker  of Bath,United Kingdom,Male,1868
1023,695,Ernst Barlach,Germany,Male,1967
1024,20,Francis Barlow,0,Male,1971
1133,10908,Phyllida Barlow,United Kingdom,Female,2007
1150,2476,Rev. William Henry Barnard,0,Male,1996
1162,2362,Matthew Barney,United States,Male,1995
1164,696,Roberto Barni,Italia,Male,1984
1166,697,Wilhelmina Barns-Graham,United Kingdom,Female,2013
1196,14953,Yto Barrada,France,Female,2011
1197,22,George Barret  Junior,United Kingdom,Male,1974
1201,21,George Barret  Senior,Ireland,Male,1856
1203,10168,Anna Barriball,United Kingdom,Female,2007
1207,23,Hugh Barron,0,Male,1974
1208,14311,Geraldo de Barros,0,Male,0
1209,2477,Joseph Charles Barrow,0,Male,1997
1210,24,James Barry,Ireland,Male,1962
1248,6882,Yael Bartana,Israel,Female,2004
1249,2678,Uta Barth,Germany,Female,2000
1261,698,Jennifer Bartlett,United States,Female,1981
1263,2478,Francesco Bartolozzi,Italia,Male,1997
1264,6217,Ricardo Basbaum,Brasil,Male,2004
1265,699,Georg Baselitz,Germany,Male,2008
1333,700,Leonard Baskin,United States,Male,1976
1334,4915,David Batchelor,United Kingdom,Male,2008
1336,25,James Bateman,0,Male,1981
1340,26,Harry Bates,United Kingdom,Male,1891
1343,702,Maxwell Bates,Canada,Male,1977
1344,8807,Richard Batterham,United Kingdom,Male,2005
1345,703,André Bauchant,France,Male,1942
1347,704,Marius Bauer,Nederland,Male,1931
1348,705,Willi Baumeister,Germany,Male,1987
1349,706,Lothar Baumgarten,Germany,Male,1987
1361,707,Edward Bawden,United Kingdom,Male,1940
1384,708,Richard Bawden,United Kingdom,Male,1975
1386,709,Glen Baxter,United Kingdom,Male,1982
1393,710,Iain Baxter,United Kingdom,Male,1977
1394,2413,Thomas Tennant Baxter,0,Male,1997
1395,711,Herbert Bayer,Austria,Male,1975
1408,712,Gilbert Bayes,United Kingdom,Male,1910
1409,713,Walter Bayes,United Kingdom,Male,1928
1411,6275,Ed Baynard,United States,Male,2004
1425,714,William Baziotes,United States,Male,1972
1426,27,Thomas Beach,United Kingdom,Male,1974
1427,2306,Mary Beale,United Kingdom,Female,1992
1430,715,Tib Beament,Canada,Male,1976
1431,2705,John Beard,United Kingdom,Male,1999
1438,716,Aubrey Beardsley,United Kingdom,Male,1923
1446,28,George Beare,0,Male,1958
1447,717,Basil Beattie,United Kingdom,Male,1985
1458,29,Sir George Howland Beaumont  Bt,United Kingdom,Male,1828
1520,10983,Breda Beban,Jugoslavija,Female,2008
1521,2557,Ferdinand Becker,0,Male,1997
1528,719,Harald Becker,Germany,Male,1975
1529,6303,Bill Beckley,United States,Male,2004
1530,720,Max Beckmann,Germany,Male,1979
1532,9118,Jose Bedia,0,Male,0
1533,30,Sir William Beechey,United Kingdom,Male,1835
1538,721,Richard Beer,United Kingdom,Male,1975
1545,722,Sir Max Beerbohm,United Kingdom,Male,1941
1573,723,Alan Beeton,United Kingdom,Male,1931
1574,724,Guy Beggs,South Africa,Male,1975
1575,31,William Behnes,United Kingdom,Male,1850
1576,725,George Belcher,United Kingdom,Male,1927
1578,11822,Mehdi Belhaj-Kacem,France,Male,0
1579,726,Graham Bell,South Africa,Male,1944
1581,32,John Zephaniah Bell,United Kingdom,Male,1893
1582,727,Larry Bell,United States,Male,1971
1588,728,Laura Anning Bell,France,Female,1931
1589,729,Robert Anning Bell,United Kingdom,Male,1906
1593,730,Trevor Bell,United Kingdom,Male,1975
1608,731,Vanessa Bell,United Kingdom,Female,1924
1619,732,John Bellany,United Kingdom,Male,1983
1649,733,Claude Bellegarde,France,Male,1959
1650,735,Elinor Bellingham-Smith,United Kingdom,Female,1948
1651,736,Hans Bellmer,Poland,Male,1964
1656,2549,Peter Paul Benazech,0,Male,1997
1657,7290,Lynda Benglis,United States,Female,2011
1658,737,Anthony Benjamin,United Kingdom,Male,1975
1672,33,William Bennett,0,Male,1899
1673,738,Alexander Benois,Russia,Male,1964
1674,739,Nadia Benois,Russia,Female,1936
1675,2240,Frédéric Benrath,France,Male,1989
1676,740,Abraham Harris Benson,United Kingdom,Male,1932
1678,741,Jean Béraud,Russia,Male,1937
1679,742,Mersad Berber,Bosna i Hercegovina,Male,1981
1681,743,Adrian Berg,United Kingdom,Male,1984
1682,2481,Rev C J R Berkeley,0,Male,1997
1683,744,Eugène Berman,Russia,Male,1960
1684,745,Janez Bernik,Slovenija,Male,1981
1687,746,John Berry  CBE,0,Male,1976
1693,2234,Jake Berthot,United States,Male,1989
1695,34,John Bettes,0,Male,1897
1696,747,Joseph Beuys,Germany,Male,2008
2274,748,Robert Bevan,United Kingdom,Male,1934
2279,2371,Tony Bevan,United Kingdom,Male,2013
2300,35,Thomas Bewick,United Kingdom,Male,0
2301,5469,Zarina Bhimji,Uganda,Female,2004
2302,749,André Bicât,United Kingdom,Male,1975
2311,2296,Ashley Bickerton,Barbados,Male,1992
2314,750,Charles Biederman,United States,Male,1966
2315,15999,Aenne Biermann,Germany,Female,2013
2319,1658,John Bigge,United Kingdom,Male,1980
2321,12110,Simon Bill,United Kingdom,Male,2008
2322,2749,Richard Billingham,United Kingdom,Male,2000
2324,751,Bertram Binning,Canada,Male,1977
2325,752,Mario Bionda,Italia,Male,1960
2326,753,Samuel John Lamorna Birch,United Kingdom,Male,1938
2329,36,Edward Bird,United Kingdom,Male,1847
2330,754,John Bird,United Kingdom,Male,1977
2331,16782,born 1980; Song Tao Birdhead (Ji Weiyu  born 1979),0,Male,2013
2333,755,Henry Bishop,United Kingdom,Male,1927
2336,756,Julius Bissier,Germany,Male,1960
2337,757,Roger Bissière,France,Male,1985
2338,758,George Bissill,United Kingdom,Male,1940
2339,6500,Per Inge Bjørlo,Norge,Male,2004
2373,11563,Karla Black,United Kingdom,Female,2011
2375,759,Sheila Black,0,Female,1975
2376,760,Elizabeth Blackadder,United Kingdom,Female,1975
2383,761,Kate Blacker,United Kingdom,Female,1987
2384,2245,Jean-Charles Blais,France,Male,1989
2385,37,Benjamin Blake,0,Male,1913
2386,762,John Blake,United States,Male,1977
2388,763,Peter Blake,United Kingdom,Male,1975
2423,38,Robert Blake,United Kingdom,Male,1922
2427,39,William Blake,United Kingdom,Male,1919
2607,764,Norman Blamey,United Kingdom,Male,1985
2611,765,Jacques-Emile Blanche,France,Male,1921
2619,766,Beatrice Bland,United Kingdom,Female,1929
2621,767,Charles Henry Blaymires,0,Male,1983
2622,2759,Ross Bleckner,United States,Male,2013
2623,3652,Rut Blees Luxemburg,Germany,Female,2004
2626,768,Douglas Percy Bliss,Pakistan,Male,1981
2627,769,Martin Bloch,Schlesien,Male,1954
2631,13711,Ansuya Blom,Nederland,Female,2010
2633,2229,Edward Blore,United Kingdom,Male,1988
2635,770,Sandra Blow,United Kingdom,Female,1975
2639,13048,Hou Bo,China,Female,2010
2640,771,Umberto Boccioni,Italia,Male,1972
2641,772,Mel Bochner,United States,Male,1974
2643,773,Théophile de Bock,Nederland,Male,1912
2644,774,Neville Boden,South Africa,Male,1970
2645,40,Sir Joseph Edgar Boehm,Austria,Male,1906
2647,7713,Alighiero Boetti,Italia,Male,2010
2648,9822,Dorothy Bohm,Germany,Female,2010
2649,775,Gilles Boisvert,Canada,Male,1976
2650,2740,Louis Philippe Boitard,France,Male,1948
2651,2305,Christian Boltanski,France,Male,1992
2652,776,Michael Bolus,South Africa,Male,1965
2665,777,David Bomberg,United Kingdom,Male,1923
2709,2586,Henry Bond,United Kingdom,Male,1997
2710,778,Sir Muirhead Bone,0,Male,1908
2738,779,Stephen Bone,United Kingdom,Male,1932
2741,780,Lorenzo Bonechi,Italia,Male,1984
2746,41,Richard Parkes Bonington,United Kingdom,Male,1847
2760,781,Pierre Bonnard,France,Male,1926
2782,782,Lee Bontecou,United States,Female,1962
2783,2702,Christine Borland,United Kingdom,Female,1999
2784,783,Jacob Bornfriend,Czech Republica,Male,1961
2785,784,Jonathan Borofsky,United States,Male,1983
2808,42,Peter Borseller,0,Male,1953
2809,785,Derek Boshier,United Kingdom,Male,1975
2819,786,Richard Bosman,India,Male,1986
2820,787,James Boswell,New Zealand,Male,1977
2860,2684,Pauline Boty,United Kingdom,Female,1999
2861,43,Samuel Bough,United Kingdom,Male,1904
2862,44,George Henry Boughton,United Kingdom,Male,1894
2863,788,Bart Boumans,Nederland,Male,1975
2864,789,Antoine Bourdelle,France,Male,1925
2865,2351,Louise Bourgeois,France,Female,1994
2894,2707,James Bourne,United Kingdom,Male,1997
2895,790,Comte Régis Guy de Bouvier de Cachard,France,Male,1975
2899,4381,Denis Bowen,South Africa,Male,2002
2902,45,Edward Bower,0,Male,1962
2903,791,Olwyn Bowey,United Kingdom,Female,1964
2904,46,Henry Alexander Bowler,United Kingdom,Male,1921
2905,792,Frank Bowling,Guyana,Male,1987
2908,793,E. Box,0,Female,1977
2909,47,Sir William Boxall,United Kingdom,Male,1858
2910,6550,Stanley Boxer,United States,Male,2004
2935,48,George Price Boyce,United Kingdom,Male,1939
2942,7630,Martin Boyce,United Kingdom,Male,2004
2946,794,Sonia Boyce,United Kingdom,Female,1987
2948,1249,Glynn Boyd Harte,United Kingdom,Male,1978
2950,796,Arthur Boyd,Australia,Male,1975
2960,797,Mark Boyle,United Kingdom,Male,1969
2962,2482,John Boyne,United Kingdom,Male,1997
2963,49,Thomas Shotter Boys,United Kingdom,Male,1967
2964,50,Hercules Brabazon Brabazon,France,Male,1907
2992,8804,Norah Braden,United Kingdom,Female,2005
2993,9242,Mark Bradford,United States,Male,2012
2995,798,Martin Bradley,United Kingdom,Male,1975
2998,51,Frank Bramley,United Kingdom,Male,1888
3000,799,Leonard Brammer,Nederland,Male,1944
3001,800,Constantin Brancusi,Romania,Male,1959
3005,2414,Robert Brandard,United Kingdom,Male,1997
3006,9570,Ulla von Brandenburg,Germany,Female,2007
3007,2742,Michael-Vincent Charles Brandoin,0,Male,0
3008,801,Bill Brandt,Germany,Male,1976
3014,802,Sir Frank Brangwyn,Belgium,Male,1916
3021,3094,Clive Branson,0,Male,2004
3026,52,Nathan Branwhite,0,Male,1908
3027,803,Georges Braque,France,Male,1926
3041,11259,Brassai,Romania,Male,2010
3044,804,John Bratby,United Kingdom,Male,1956
3050,2719,Manuel Álvarez Bravo,México,Male,2010
3051,805,Ian Breakwell,United Kingdom,Male,1975
3072,564,Rev. William Bree,0,Male,1988
3073,806,Claude Breeze,Canada,Male,1977
3074,807,André Breton,France,Male,1983
3076,808,Bernard Brett,0,Male,1975
3078,53,John Brett,United Kingdom,Male,1880
3083,809,The Hon. Dorothy Brett,United Kingdom,Female,1959
3086,54,Frederick Lee Bridell,United Kingdom,Male,1886
3087,810,Alan Bridgewater,0,Male,1983
3088,811,Ernest Briggs,United Kingdom,Male,1913
3089,55,Henry Perronet Briggs,United Kingdom,Male,1847
3092,2415,Henry Bright,0,Male,1997
3093,812,Frederick Brill,0,Male,1986
3094,2671,Reginald Brill,United Kingdom,Male,1998
3095,813,Stuart Brisley,United Kingdom,Male,1997
3103,62,Sir Thomas Brock,United Kingdom,Male,1881
3108,11347,Gerald Brockhurst,United Kingdom,Male,2008
3109,814,Horace Brodzky,Australia,Male,1973
3111,11761,Pablo Bronstein,Argentina,Male,2008
3113,815,Marcel Broodthaers,Belgium,Male,1977
3126,816,Peter Brook,United Kingdom,Male,1975
3141,63,William Henry Brooke,Ireland,Male,1981
3142,817,William Brooker,United Kingdom,Male,1975
3143,64,Charles Brooking,United Kingdom,Male,1896
3146,818,James Brooks,United States,Male,1959
3147,16107,Adam Broomberg,South Africa,Male,2013
3159,819,Robert Brough,United Kingdom,Male,1905
3160,820,Romey Brough,0,Female,1976
3161,8785,Stanley Brouwn,Nederland,Male,2006
3163,2703,Cecily Brown,United Kingdom,Female,2000
