,Name
Veronica Ryan,7
Doris Salcedo,7
Liliane Lijn,7
Annie Louisa Swynnerton,6
Ellen Gallagher,6
Annette Kelm,6
Julia Emily Gordon,6
Saloua Raouda Choucair,6
Sanja Ivekovic,6
Linda Karshan,6
Ceal Floyer,6
Maria Lalic,6
Tomma Abts,6
Hayley Tompkins,6
Amelia Long,6
Valerie Thornton,6
Jean Spencer,6
Natalya Goncharova,6
Gillian Wise,5
Fiona Rae,5
Zoe Leonard,5
Ana Mendieta,5
Mary Potter,5
Sophie Calle,5
Zarina Hashmi,5
Lynn Hershman,5
Angela Jansen,5
Katherine Pleydell-Bouverie,5
Agnes Martin,5
Eva Hesse,5
Dorothea Tanning,5
Anya Gallaccio,5
Claire Barclay,4
Cristina Iglesias,4
Magdalena Abakanowicz,4
Hilary Lloyd,4
Aenne Biermann,4
Anna Barriball,4
Lamia Joreige,4
Marisa Merz,4
Andrea Fraser,4
Sarah Jones,4
Catherine Opie,4
Sandra Blow,4
Eva Rothschild,4
Ghisha Koenig,4
Rebecca Salter,4
Frances Scott,4
Kate Whiteford,4
Dora Gordine,4
Lygia Clark,4
VALIE EXPORT,4
Margaret Mellis,4
Alice Neel,4
Evelyn Gibbs,4
Elisabeth Collins,4
Daniela Rossell,4
Ethel Sands,3
Rebecca Warren,3
Berenice Abbott,3
Janet Leach,3
Mira Schendel,3
Rut Blees Luxemburg,3
Gillian Carnegie,3
Louise Lawler,3
Alix Mackenzie,3
Kara Walker,3
Mary Beale,3
Barbara Jones,3
Cathy De Monchaux,3
Laurie Simmons,3
Helen Saunders,3
Anna Gaskell,3
The Hon. Dorothy Brett,3
Daria Martin,3
Hannah Starkey,3
Inka Essenhigh,3
Dod Procter,3
Lubaina Himid,3
Evie Hone,3
Evelyn Dunbar,3
Kathy Prendergast,3
Rosângela Rennó,3
Rosemary Simmons,3
Bethan Huws,3
Louisa Anne Waterford  Marchioness of,3
Catherine Yarrow,3
Marie-Louise Von Motesiczky,3
Sheila Fell,3
Jane Wilson,3
Christina Mackie,3
Stanislawa De Karlowska,3
Helen Lessore,2
Janet Ledger,2
Joan Mirea,2
Melanie Smith,2
Dominique Gonzalez-Foerster,2
Angelica Kauffman,2
Edwina Leapman,2
Jennifer Allora,2
Alice Channer,2
Marlow Moss,2
Hannah Collins,2
Dame Laura Knight,2
Emma Kay,2
Dadamaino,2
Trisha Donnelly,2
Thelma Hulbert,2
Ansuya Blom,2
Lucy Kemp-Welch,2
Adriana Maraz,2
Lucia Moholy,2
Leonora Carrington,2
Katy Moran,2
Zineb Sedira,2
Gego (Gertrud Goldschmidt),2
Grace Golden,2
Jennifer Bartlett,2
Miriam Cahn,2
Jessica Dismorr,2
Jennifer Durrant,2
Sharon Lockhart,2
Tala Madani,2
Mary Adshead,2
Maria Helena Vieira da Silva,2
Marie Laurencin,2
Katherine Cameron,2
Jane Simpson,2
Anne Redpath,2
Elizabeth Wright,2
Fernanda Gomes,2
Lynette Yiadom-Boakye,2
Elsie Few,2
Jaki Irvine,2
Joanna Mary Wells,2
Angela Bulloch,2
Dora Carrington,2
Elizabeth Eleanor Siddal,2
Ewa Partum,2
Judy Clark,2
Nicola Tyson,2
Brigitte Matschinsky-Denninghof,2
Agathe Sorel,2
Tania Bruguera,2
Madge Oliver,2
