Id,Name,Gender,placeOfBirth,Artist Entity
657,Shusaku Arakawa,0,"Nagoya, Nihon",Q478264
14424,Kiyohiko Komura,0,0,Q64826662
16926,Len Lye,0,0,Q1288566
5672,Vladimir Mayakovsky,0,0,Q132964
18266,Mithu Sen,0,0,Q43136922
