Id,Name,Gender,placeOfBirth,Artist Entity
10428,Christina Broom,0,0,Q5110756
13086,Juan Downey,0,0,Q3817219
13568,Jack Goldstein,0,0,Q1677042
13736,Suzanne Lacy,0,0,Q7650894
2634,Morin,0,0,Q104382715
11737,Eduardo Salvatore,0,0,Q10270768
12947,Gunther Sander,0,0,Q61817490
2735,Stephanie Smith,0,0,Q100391910
5227,Haim Steinbach,0,0,Q5639315
11740,José Yalenti,0,0,Q20018089
