,Id,Name,Nationality,Gender,DateAcquired
0,1,Robert Arneson,American,Male,1981
2,2,Doroteo Arnaiz,Spanish,Male,1965
3,3,Bill Arnold,American,Male,1972
29,4,Charles Arnoldi,American,Male,1981
30,5,Per Arnoldi,Danish,Male,1981
48,6,Danilo Aroldi,Italian,Male,0
49,7,Bill Aron,American,Male,1981
50,9,David Aronson,American,Male,1952
51,10,Irene Aronson,American,Female,1952
52,11,Jean (Hans) Arp,French,Male,1956
270,12,Jüri Arrak,Estonian,Male,1988
271,13,J. Arrelano Fischer,Mexican,Male,1942
272,15,Folke Arstrom,Swedish,Male,1954
273,16,Cristobal Arteche,Spanish,Male,1936
274,18,Artko,0,0,1968
275,19,Richard Artschwager,American,Male,1970
329,21,Ruth Asawa,American,Female,1974
385,22,Isidora Aschheim,Israeli,Female,1954
386,23,Charles Robert Ashbee,British,Male,1977
387,24,Donald Ashcraft,American,Male,1954
388,25,E. M. Ashe,American,Male,1940
389,26,Göran Åslin,Swedish,0,1983
391,27,Erik Gunnar Asplund,Swedish,Male,1990
424,28,Geneviève Asse,French,Female,1991
474,30,Sergio Asti,Italian,Male,1965
481,31,Dana Atchley,American,Female,1970
488,32,Atelier Eggers,French,0,1966
489,33,A.A.P.,American,0,1940
490,34,Alvar Aalto,Finnish,Male,2000
530,35,Aino Aalto,Finnish,Female,1983
531,36,Eero Aarnio,Finnish,Male,1987
533,37,Jules Aarons,American,Male,1965
535,38,Magdalena Abakanowicz,Polish,Female,1974
541,39,James Abbe,American,Male,1979
542,40,Jussuf Abbo,Palestinian,Male,1940
544,41,Berenice Abbott,American,Female,1941
622,42,Nobuya Abe,Japanese,Male,1964
624,43,Abe Shiro (pen Name: Suichiku),Japanese,Male,1954
625,44,Robert Abel,American,Male,0
626,46,Sigmund Abeles,American,Male,1966
627,47,Raimund Abraham,American,Male,1980
647,49,Ivor Abrahams,British,Male,1977
648,50,Gerald Abramovitz,British,Male,1966
649,51,William Ross Abrams,American,Male,1949
650,52,Rodolfo Abularach,Guatemalan,Male,1961
692,53,Vito Acconci,American,Male,1974
753,54,Milton Ackoff,American,Male,1968
755,55,Norman Ackroyd,British,Male,1982
758,56,Luis Alberto Acuña,Colombian,Male,1942
759,57,Henri Georges Adam,French,Male,1954
776,58,Antoine Samuel Adam-Salomon,French,Male,1964
780,59,Valerio Adami,Italian,Male,1972
784,60,Ansel Adams,American,Male,1939
1072,61,Alice Adams,American,Female,1998
1074,62,Clinton Adams,American,Male,1974
1136,63,Dacres Adams,British,Male,1937
1137,64,Dennis Adams,American,Male,1990
1138,65,Kenneth M. Adams,American,Male,1969
1139,66,Robert Adams,American,Male,1970
1211,67,Shelby Lee Adams,American,Male,1982
1212,68,Charles Addams,American,Male,1970
1215,69,Allan Adler,American,Male,1950
1216,70,Jankel Adler,Polish,Male,1949
1217,71,Virginia Admiral,American,Female,1944
1218,72,Pic Adrian,Romanian,Male,1980
1229,74,Roy Adzak,British,Male,1967
1230,76,Nicholas Africano,American,Male,1986
1232,77,Afro (Afro Basaldella),Italian,Male,1995
1235,78,Aftograf,Russian,0,1977
1236,79,Agam (Yaacov Agam),Israeli,Male,1976
1239,80,Mehemed Fehmy Agha,American,Male,1940
1240,81,Kathleen Agnoli,American,Female,1980
1242,82,Peter Agostini,American,Male,1963
1243,83,Olympe Aguado de las Marismas,French,Male,1989
1246,84,Dongkuk S. Ahn,American,Male,1966
1247,85,Aarne Aho,Finnish,Male,1960
1248,86,Otl Aicher (also known as Otto Aicher),German,Male,1953
1284,87,Lucien Aigner,American,Male,1989
1286,88,Gregory Ain,American,Male,2014
1287,89,Edgar Ainsworth,British,Male,1950
1290,91,Roberto Aizenberg,Argentine,Male,1969
1292,92,Kinji Akagawa,Japanese,Male,1974
1299,93,Ryoji Akiyama,Japanese,Male,1977
1309,94,Munira Al-Kazi,Kuwaiti,Female,1965
1310,95,Alastair (Hans H. Voight),German,Male,1965
1311,96,Anni Albers,American,Female,0
1509,97,Josef Albers,American,Male,1957
1800,98,Beatrice Albert,American,Female,1950
1801,99,Joan Albert,American,Female,1997
1807,100,Ivan LeLorraine Albright,American,Male,1986
1813,101,Album-miscellaneous,0,0,1943
2198,103,Albert Alcalay,American,Male,1956
2199,104,L. (Alfred Lewin Copley) Alcopley,American,Male,1956
2211,105,A. Alcorn,American,0,1956
2212,106,Alan Aldridge,British,Male,1973
2213,107,Pierre Alechinsky,Belgian,Male,1988
2641,108,Peter Alexander,American,Male,1982
2657,111,Carlo Alfano,Italian,Male,1976
2662,112,José R. Alicea,American,Male,1967
2666,113,Leopoldo and Guiseppe Alinari,Italian,0,1991
2669,114,James Alinder,American,Male,1970
2671,115,Yves Alix,French,Male,1964
2673,116,Wobbe Alkema,Dutch,Male,1985
2677,117,William Allan,American,Male,1979
2678,118,Alexander Alland,American,Male,1941
2681,119,Harry Allen,American,Male,1998
2687,120,Terry Allen,American,Male,1976
2694,121,Adrian Allinson,British,Male,1936
2695,123,Carlos Alonso,Argentine,Male,1967
2696,124,Glen Alps,American,Male,1967
2712,126,Henry Altchek,American,Male,1980
2713,127,Gerhard Altenbourg,German,Male,1962
2717,128,Hobie Alter,American,Male,1962
2718,129,Harold Altman,American,Male,1958
2763,131,Giacchino Altobelli,Italian,Male,1978
2773,132,John Altoon,American,Male,1974
2799,135,Manuel Álvarez Bravo,Mexican,Male,1977
2859,136,Dag Alveng,Norwegian,Male,1982
2860,137,Getulio Alviani,Italian,Male,1965
2866,138,Edmond-François Aman Jean,French,Male,1951
2869,139,Kunihiro Amano,Japanese,Male,1967
2870,140,Jim Amaral,American,Male,1973
2872,141,Emilio Ambasz,Argentine,Male,1992
2892,142,M. Ameen,Nationality unknown,0,1967
2893,143,Irving Amen,American,Male,1955
2897,144,Woody van Amen,Dutch,Male,1981
2898,145,Gregory Amenoff,American,Male,1991
2903,148,Florencia de Amesti,Chilean,Female,1968
2904,149,Cuno Amiet,Swiss,Male,1965
2905,150,Francisco Amighetti Ruiz,Costa Rican,Male,1943
2907,152,Ralph Ammirati,American,Male,0
2908,153,Emma Amos,American,Female,1989
2913,154,Mauricio Amster Cats,Chilean,Male,1937
2914,155,William Anastasi,American,Male,1988
2929,157,Stephen Ancona,American,Male,0
2930,158,Jiþi Anderle,Czech,Male,1981
2932,159,Gunnar Aagaard Andersen,Danish,Male,1966
2933,160,Karin Schou Andersen,Danish,Female,1988
2934,161,Clarence William Anderson,American,Male,1940
2935,162,Carl Anderson,American,Male,0
2936,163,Dennis Anderson,American,Male,1970
2937,164,Jeremy Anderson,American,Male,1936
2940,165,James Anderson,British,Male,1988
2943,166,Jerry Anderson,American,Male,1976
2945,167,John Anderson,British,Male,1962
2946,168,Neil Anderson,American,Male,1966
2947,169,Paul L. Anderson,American,Male,1976
2971,170,Monika Andersson,Swedish,Female,1988
2972,172,Joe Andoe,American,Male,1991
2975,173,Farnese de Andrade-Neto,Brazilian,Male,1968
2977,174,Carl Andre,American,Male,1969
3025,175,Pat Andrea,Dutch,Male,1972
3027,176,A. Andreas,French,0,1956
3028,177,Henning Andreasen,Danish,Male,1980
3034,178,Laura Andreson,American,Female,1950
3035,179,Mariano Andreù,Spanish,Male,1964
3037,180,Benny Andrews,American,Male,1970
3053,181,Emmy Andriesse,Dutch,Female,1976
3066,182,Claudia Andujar,American,Female,1962
3175,183,Manuel Angeles Ortiz,Spanish,Male,1942
3185,184,Ludwig Angerer,Austrian,Male,1982
3186,185,Bruce Angrave,British,Male,1945
3187,186,Raúl Anguiano,Mexican,Male,1944
3203,188,Sibyl Anikeef,American,Female,1968
3204,189,James Craig Annan,British,Male,1976
3205,190,Thomas Annan,British,Male,0
3256,193,David Annesley,British,Male,1968
3257,194,Horst Antes,German,Male,1967
3332,195,William Anthony,American,Male,1977
3333,196,Stephen Antonakos,American,Male,1986
3402,198,Garo Antreasian,American,Male,1966
3481,199,Nemesio Antúnez,Chilean,Male,1974
3496,200,Richard Anuszkiewicz,American,Male,1967
3522,201,Aoki Toshio,0,0,1959
3523,202,Carl Apfelschnitt,American,Male,1985
3529,203,Karel Appel,Dutch,Male,1992
3544,204,Leon Appelbaum,American,Male,1956
3545,205,Ida Applebroog,American,Female,1984
3562,207,Shusaku Arakawa,American,Male,1991
3593,208,Diane Arbus,American,Female,1994
3676,209,Alexander Archipenko,American,Male,1967
3711,211,Mordecai Ardon,Israeli,Male,1952
3713,212,Luis Arenal,Mexican,Male,1943
3716,214,Egmont Arens,American,Male,0
3717,215,Tamotsu Arikawa,Japanese,Male,1972
3719,216,Avigdor Arikha,Romanian,Male,1986
3723,217,Gonzalo Ariza,Colombian,Male,1942
3724,218,Alda Maria Armagni,Argentine,Female,1963
3725,219,Siah Armajani,American,Male,1992
3736,220,Arman,American,Male,1996
3766,221,Armando,Dutch,Male,1987
3768,222,F. Armbruster,French,Male,1982
3769,224,Kenneth Armitage,British,Male,1953
3773,225,John Taylor Arms,American,Male,1980
3775,226,John Armstrong,British,Male,1937
3780,227,François Arnal,French,Male,1967
3783,228,Arndt,German,0,1954
3784,229,Eugène Atget,French,Male,1968
8834,230,John Atherton,American,Male,1944
8838,231,Anna Atkins,British,Female,1984
8841,232,Conrad Atkinson,British,Male,1985
8842,233,Lawrence Atkinson,British,Male,1978
8843,234,Terry Atkinson,British,Male,0
8844,235,Jean-Michel Atlan,French,Male,1956
8863,236,Dotty Attie,American,Female,1996
8866,238,Carl Auböck,Austrian,Male,1968
8873,239,Charles Aubry,French,Male,1995
8875,240,Frank Auerbach,British,Male,1981
8880,241,Gae Aulenti,Italian,Female,1982
8882,242,Keith James Aulik,American,Male,1941
8883,243,George Ault,American,Male,1968
8886,245,Irving Austin,American,Male,1961
8887,246,Mario Avati,Italian,Male,1955
8901,247,Edward Avedisian,American,Male,1969
8902,248,Richard Avedon,American,Male,1988
8978,249,Frances Avery,American,Female,1941
8979,250,Milton Avery,American,Male,1996
8987,251,David Avison,American,Male,1976
8988,252,Mordechai Avniel,Israeli,Male,1955
8989,254,Kiyoshi Awazu,Japanese,Male,1990
8996,255,Ay-O,Japanese,Male,1973
9087,256,Alice Aycock,American,Female,1978
9096,257,Pierre Ayot,Canadian,Male,1967
9097,258,Michael Ayrton,British,Male,1949
9116,259,Luis Cruz Azaceta,American,Male,1993
9119,260,Umetaro Azechi,Japanese,Male,1965
9125,261,Kengiro Azuma,Japanese,Male,1974
9127,262,Johannes Baader,German,Male,1937
9130,263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1962
9134,264,Kurt W. Baasch,American,Male,1967
9153,265,Alice Baber,American,Female,1968
9155,266,Bacard Fils,French,Male,1982
9156,268,Edmondo Bacci,Italian,Male,1956
9157,269,Elvira Bach,German,Female,1984
9158,270,Olof Backman,Swedish,Male,1958
9159,271,Olof Backstrom,Finnish,Male,1977
9160,272,Francis Bacon,British,Male,1948
9165,273,Peggy Bacon,American,Female,1940
9202,275,Karl Baden,American,Male,1984
9203,276,Mowry Thatcher Baden,American,Male,1960
9204,277,Aquiles Badi,Argentine,Male,1942
9205,278,Libero Badii,Argentine,Male,1969
9238,279,Frank Badur,German,Male,1985
9250,280,Donald Baechler,American,Male,1997
9278,281,Jo Baer,American,Female,1999
9314,282,Martin Baer,American,Male,1941
9315,283,Olle Baertling,Swedish,Male,1964
9317,284,Myrna Báez,American,Female,1971
9318,285,John Bageris,American,Male,1968
9320,286,Heinz Bahr,German,Male,1982
9321,287,Malcolm Bailey,American,Male,1970
9323,288,Oscar Bailey,American,Male,1979
9326,289,William Bailey,American,Male,1986
9329,290,Larry Bair,American,Male,1984
9331,291,Eugenie Baizerman,American,Female,1961
9332,292,Enrico Baj,Italian,Male,1968
9385,294,Carl Baker,American,Male,0
9386,296,Mikal Baker,American,Male,1972
9387,298,Vagrich Bakhchanyan,Russian,Male,1987
9388,299,Gerhard H. Bakker,American,Male,1941
9389,300,Léon Bakst,Russian,Male,1978
9393,301,Gerard Baksteen,Dutch,Male,1986
9394,302,Amèrico Balán,Argentine,Male,1969
9395,303,Jirí Balcar,Czech,Male,1981
9418,304,John Baldessari,American,Male,1989
9488,305,George Baldessin,Australian,Male,1973
9490,307,C. Leroy Baldridge,American,Male,1943
9491,308,Édouard-Denis Baldus,French,Male,1979
9502,309,Benjamin Baldwin,American,Male,0
9503,310,Joost Baljeu,Dutch,Male,1985
9504,311,Giacomo Balla,Italian,Male,1964
9515,313,R. Maxil Ballinger,American,Male,1954
9523,314,Theo H. Ballmer,Swiss,Male,1980
9527,315,Alexander Bally,American,Male,1986
9528,316,John F. Balossi,American,Male,1964
9529,317,Balthus (Baltusz Klossowski de Rola),French,Male,1978
9541,318,Lewis Baltz,American,Male,1975
9577,319,Thomas Bamberger,American,Male,1995
9580,320,McDonald (Mackey Jeffries) Bane,American,Female,1968
9581,321,Colette Bangert,American,Female,1961
9582,322,Walter Darby Bannard,American,Male,1971
9592,323,John Banting,British,Male,1949
9595,324,Rudolf Baranik,American,Male,1967
9597,325,Vladimir Baranoff-Rossiné,Ukrainian,Male,1972
9598,327,Anthony Barboza,American,Male,1989
9606,329,Miquel Barcelo,Spanish,Male,1994
9608,330,Peter Bardazzi,American,Male,1972
9609,331,Jules-Jean-Antoine Baric,French,Male,1956
9610,332,Richard Baringer,American,Male,1967
9611,333,George Barker,Australian,Male,1973
9612,334,Walter William Barker,American,Male,1963
9614,335,Ernst Barlach,German,Male,0
9714,336,George N. Barnard,American,Male,1974
9779,337,Cyril H. Barnes,American,Male,1954
9780,338,Matthew Rackham Barnes,American,Male,1943
9781,339,Robert Barnes,American,Male,1963
9782,342,Will Barnet,American,Male,1952
9800,343,Tina Barney,American,Female,1989
9820,344,Hannelore Baron,American,Female,2000
9824,345,Martin Barooshian,American,Male,1965
9825,347,Steve Barraclough,British,Male,1979
9827,348,Maurice Barraud,Swiss,Male,1964
9829,349,Susan Barron,American,Female,1981
9830,350,Thomas F. Barrow,American,Male,1970
9833,351,David Francis Barry,American,Male,1986
9834,352,Robert Barry,American,Male,1969
9870,353,Robert Bart,American,Male,1969
9871,354,Frances Barth,American,Female,1979
9872,355,Ruodi Barth,Swiss,Male,1953
9874,356,"Ralph Bartholomew, Jr.",American,Male,1985
9875,357,Jennifer Bartlett,American,Female,1999
9901,358,Robert Bartlett,British,Male,1937
9902,359,Carlo Bartoli,Italian,Male,1969
9903,360,Luigi Bartolini,Italian,Male,1949
9908,361,Joseph Bartscherer,American,Male,1986
9910,362,Gianfranco Baruchello,Italian,Male,1963
9912,363,Héctor Basaldua,Argentine,Male,1942
9913,364,Bernard Baschet,French,Male,0
9914,365,François Baschet,French,Male,0
9915,366,Georg Baselitz,German,Male,1993
10053,368,Mati Basis,Israeli,Male,1977
10054,369,Leonard Baskin,American,Male,1967
10317,370,Jean-Michel Basquiat,American,Male,1991
10328,371,Joel Bass,American,Male,1974
10333,372,Saul Bass,American,Male,1960
10343,373,Giampiero Bassi,Italian,0,0
10344,374,Miriam Bat-Yosef,German,Female,1964
10345,375,Georges Bataille,French,Male,1966
10358,377,Josef Bato,Hungarian,Male,1952
10359,378,John Battan,American,Male,1977
10360,379,Wall Batterton,British,Male,1977
10361,380,Dora M. Batty,British,Female,1936
10363,381,Eugen Batz,German,Male,1957
10373,382,"Harry W. Batz, Jr.",American,Male,1959
10374,383,André Bauchant,French,Male,1947
10376,384,Karl Bauer,German,Male,1940
10377,385,Rudolph Bauer,American,Male,1983
10378,386,Mary Bauermeister,American,Female,1964
10383,387,Bauhaus,German,0,1958
10384,388,Marilyn Baum,American,Female,1981
10385,390,Hans Theo Baumann,German,Male,1966
10386,391,Otto Baumberger,Swiss,Male,1984
10392,392,Willi Baumeister,German,Male,1952
10440,393,Lothar Baumgarten,German,Male,1985
10444,395,Edward Bawden,British,Male,1950
10445,396,Glen Baxter,British,Male,1985
10451,397,Iain Baxter&,Canadian,Male,1987
10453,398,Hippolyte Bayard,French,Male,1965
10480,399,Herbert Bayer,American,Male,1986
10645,401,Ed Baynard,American,Male,1977
10647,402,Thomas Bayrle,German,Male,1967
10658,403,Douglas Baz,American,Male,1983
10660,404,Jean Bazaine,French,Male,1957
10661,405,Castera Bazile,Haitian,Male,1947
10662,406,William Baziotes,American,Male,1979
10666,407,Gifford Beal,American,Male,1940
10669,408,Jack Beal,American,Male,1976
10673,409,Lester Beall,American,Male,1944
10687,411,Mark Beard,American,Male,1986
10704,412,Romare Bearden,American,Male,1977
10726,413,Aubrey Beardsley,British,Male,1968
10729,414,Bruce Beasley,American,Male,1962
10730,415,Beath,British,0,1936
10731,416,Felice Beato,Italian,Male,1986
10824,417,Cecil Beaton,British,Male,1989
10828,418,Leslie Beaton,American,Female,1947
10830,420,André Beaudin,French,Male,1976
10855,421,Alessandro Becchi,Italian,Male,1972
10856,422,Bernd Becher,German,Male,0
10857,423,Thelma Becherer,American,Female,1957
10858,424,Robert Bechtle,American,Male,1972
10865,425,Gustav K. Beck,Austrian,Male,1966
10866,426,A. Becker,German,0,1956
10867,427,Fred Becker,American,Male,0
10868,428,Bill Beckley,American,Male,1983
10873,429,Max Beckmann,German,Male,0
11093,430,Francis Bedford,British,Male,1972
11121,431,René Beeh,German,Male,0
11127,432,Jan Bontjes van Beek,German,Male,1959
11128,433,Chris Hendrik Beekman,Dutch,Male,1985
11131,434,Max Beerbohm,British,Male,1978
11132,436,Hedda Beese,German,Female,1989
11133,437,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",British,0,1988
11138,438,Peter Behrens,German,Male,1997
11151,439,Edith Behring,Brazilian,Female,1942
11153,440,John Behringer,American,Male,1963
11154,441,J. J. Beljon,Dutch,Male,1974
11155,442,Alistair Macready Bell,Canadian,Male,1967
11157,443,Charles M. Bell,American,Male,1984
11158,444,Larry Bell,American,Male,1982
11167,445,Vanessa Bell,British,Female,1937
11171,446,William H. Bell,American,Male,1981
11172,447,Ross Bellah,American,Male,0
11173,448,Joseph Bellanca,American,Male,1959
11176,449,John Bellany,British,Male,1988
11194,450,Rudolf Belling,German,Male,1954
11197,451,Mario Bellini,Italian,Male,1988
11224,452,Hans Bellmer,German,Male,1970
11282,453,Ernest J. Bellocq,American,Male,1974
11333,455,George Bellows,American,Male,1935
11343,456,Rossella Bellusci,Italian,Female,1985
11344,457,Giandomenico Belotti,Italian,Male,1983
11346,458,Christian Belpaire,Congolese,Male,1982
11348,459,Antoli Pawlowitsch Belski,Russian,Male,1987
11350,461,David Ben Shaul,Israeli,Male,1965
11351,462,Ahron Ben-Shmuel,American,Male,1934
11352,463,Ben-Zion,American,Male,1944
11372,464,Adolf Benca,American,Male,1980
11374,465,W. T. Benda,American,Male,1963
11376,466,C. Whitney Bender,American,0,1948
11377,467,Niels Sylvester Bendtsen,Danish,Male,1977
11378,468,Nair Benedicto,Brazilian,Female,1980
11380,469,Luis Fernando Benedit,Argentine,Male,1972
11408,470,G. A. Beneker,American,Male,1940
11409,471,Lynda Benglis,American,Female,1975
11426,472,Billy Al Bengston,American,Male,1983
11481,473,Jim Bengston,American,Male,1984
11488,474,Anthony Benjamin,British,Male,1977
11490,475,Gordon Bennett,American,Male,1968
11492,476,Henry Hamilton Bennett,American,Male,1966
11505,478,Ward Bennett,American,Male,1986
11519,481,David Bentley,American,Male,1969
11520,482,Nicholas Bentley,British,Male,1943
11522,483,Thomas Hart Benton,American,Male,1968
11530,484,Roloff Beny,Canadian,Male,1953
11553,485,Etienne (Istvan) Béothy,Hungarian,Male,1985
11554,486,Christian Bérard,French,Male,1964
11632,487,Roberto Berdecio,Bolivian,Male,1941
11633,488,Vera Berdich,American,Female,1964
11634,489,Ed Bereal,American,Male,1977
11635,490,Stephen Lynn Berens,American,Male,1982
11636,491,Berger (?),British,0,1945
11638,492,Charles Berger,American,Male,1971
11639,493,Jason Berger,American,Male,1955
11640,495,Hagbard Elis Bergh,Swedish,Male,1948
11642,496,Håkan Bergkvist,Swedish,Male,0
11643,497,Ella Bergmann-Michel,German,Female,1985
11644,498,Paul Bergtold,American,Male,1977
11645,501,Henryk Berlewi,Polish,Male,1985
11655,502,Eugene Berman,American,Male,1952
11757,503,Mieczyslaw Berman,Polish,Male,1989
11759,504,Sarah Berman,American,Female,1941
11760,505,Wallace Berman,American,Male,1999
11764,506,Zeke Berman,American,Male,1986
11784,507,Cundo Bermúdez,Cuban,Male,1944
11786,508,José Ygnacio Bermudez,Cuban,Male,1954
11789,509,Thoni Bern,Swiss,0,1953
11790,510,Camille Bernabé,French,Male,1981
11794,511,Émile Bernard,French,Male,1961
12424,512,Francis Bernard,French,Male,1987
12428,513,Valère Bernard,French,Male,1964
12429,514,Jerry Berndt,American,Male,1986
12430,515,Lucian Bernhard,American,Male,1990
12442,516,Ruth Bernhard,American,Female,1941
12446,517,Antonio Berni,Argentine,Male,1964
12455,518,Janez Bernik,Slovenian,Male,1971
12458,519,Judith Bernstein,American,Female,1977
12460,520,Richard Bernstein,American,Male,1968
12461,521,Jean Berque,French,Male,1964
12463,522,Miguel Ortiz Berrocal,Spanish,Male,1970
12465,523,Bertall & Cie.,French,0,1964
12467,524,M. Berthaud,French,Male,1982
12469,525,Palme Berthold,0,0,1943
12470,526,Berthold-Mahn (Charles Désiré),French,Male,1964
12472,527,René Bertholo,Portuguese,Male,1963
12474,528,Paul Berthon,French,Male,1956
12476,529,Jake Berthot,American,Male,1990
12511,530,Gianni Bertini,Italian,Male,1964
12512,531,Harry Bertoia,American,Male,1958
12519,532,Emilio Bertonati,Italian,Male,1966
12530,533,Albert Besnard,French,Male,1940
12531,534,Forrest Bess,American,Male,1982
12533,535,Ruth Bessoudo Courvoisier,Brazilian,Female,1968
12536,536,Alan Randall Best,Canadian,Male,1987
12537,537,William Betsch,American,Male,1979
12539,538,Pierre Betz,French,Male,1941
12543,539,Wim Beuning,Dutch,Male,1954
12544,540,Joseph Beuys,German,Male,1982
12639,541,Art Bevacqua,Nationality unknown,Male,1968
12640,542,Thomas Bewick,British,Male,1964
12964,544,Jyoti Bhatt,Indian,Male,1966
12971,545,Domenico Bianchi,Italian,Male,1985
12973,546,Pamela Bianco,American,Female,1961
12974,547,Fulvio Bianconi,Italian,Male,1953
12979,548,Carl Bianga,German,Male,1961
12980,549,Alberto Biasi,Italian,Male,1965
12981,550,Guido Biasi,Italian,Male,1964
12982,551,Ashley Bickerton,British,Male,1989
12984,553,George Biddle,American,Male,1934
12989,554,Charles Biederman,American,Male,1936
12991,555,James Biederman,American,Male,1980
12994,556,Aenne Biermann,German,Female,1987
13003,557,Wilson Bigaud,Haitian,Male,1947
13005,559,Max Bill,Swiss,Male,1958
13045,560,Joseph Binder,American,Male,1953
13052,561,Ilse Bing,American,Female,1991
13156,562,Robert J. Bingham,British,Male,1982
13160,563,Manfred Bingler,Swiss,Male,1965
13163,564,Peter Birkhauser,Swiss,Male,1994
13166,565,Robert Birmelin,American,Male,1964
13175,566,Werner Bischof,Swiss,Male,1964
13180,567,Elmer Bischoff,American,Male,1960
13181,568,Isabel Bishop,American,Female,1981
13191,569,James Bishop,American,Male,1975
13194,570,Michael Bishop,American,Male,1970
13195,571,Maureen Bisilliat,American,Female,1973
13196,572,Antonio Bisquert Pérez,Spanish,Male,1937
13197,573,Julius Bissier,German,Male,1979
13205,574,Roger Bissière,French,Male,1965
13207,575,George Bissill,British,Male,1937
13209,576,Auguste-Rosalie Bisson,French,Male,0
13210,577,Louis-Auguste Bisson,French,Male,0
13211,578,Arnold Bittleman,American,Male,1978
13214,579,Dolores Dembus Bittleman,American,Female,1965
13215,580,Ion Bitzan,Romanian,Male,1968
13217,581,Judith Black,American,Female,1984
13219,582,James Wallace Black,American,Male,1977
13220,583,Roman Black,Nationality unknown,Male,1958
13221,584,Wendell Black,American,Male,1974
13226,585,Elizabeth Blackadder,British,Female,1961
13228,586,Morris Blackburn,American,Male,1985
13231,587,Tom Blackwell,American,Male,1976
13233,588,Ronald Bladen,American,Male,1998
13248,589,Nell Blaine,American,Female,1968
13261,590,Jean-Charles Blais,French,Male,1997
13266,591,Jeffrey Blake,American,Male,1987
13267,592,Peter Blake,British,Male,1978
13290,593,Camilo Blas (José Alfonso Sánchez Urteaga),Peruvian,Male,1942
13291,594,Werner Blaser,Swiss,Male,1958
13293,595,Edwin Howland Blashfield,American,Male,1940
13294,597,Ross Bleckner,American,Male,1998
13298,599,René Bleibtreu,French,Male,1965
13300,601,Blessum,Nationality unknown,0,1943
13301,602,André Bloc,French,Male,1974
13302,603,Albert Bloch,American,Male,1982
13303,604,Julius Thiengen Bloch,American,Male,1940
13307,605,Pierrette Bloch,French,Female,1988
13310,606,Clarence Lincoln Block,American,Male,1941
13311,607,Gay Block,American,Female,1988
13348,608,Barbara Bloom,American,Female,1989
13363,609,Hyman Bloom,American,Male,1942
13365,610,Vern Blosum,American,Male,1963
13366,611,Sandra Blow,British,Female,1956
13367,612,Oscar Bluemner,American,Male,1960
13369,613,Norman Bluhm,American,Male,1968
13375,614,Donald Blumberg,American,Male,1969
13376,615,Anna Blume,German,Female,0
13377,616,Bernhard Blume,German,Male,1992
13378,617,Peter Blume,American,Male,1935
13396,618,Erwin Blumenfeld,German,Male,1978
13399,623,Marcello Boccacci,Italian,Male,1953
13400,624,Umberto Boccioni,Italian,Male,1952
13420,625,Mel Bochner,American,Male,1991
13470,626,Bengt Böckman,Swedish,Male,1967
13472,627,Peter Bodner,Nationality unknown,Male,1974
13474,630,Alighiero Boetti,Italian,Male,1998
13757,631,Marinus Boezem,Dutch,Male,1981
13762,632,Ricardo Bofill,Spanish,Male,1994
13778,633,Arthur Emil Bofinger,Swiss,Male,1983
13779,634,Jóhanna Boga,Icelandic,Female,1983
13781,635,Varujan Boghosian,American,Male,1956
13799,636,Theodor Bogler,German,Male,1970
13802,637,Alexander Bogomazov,Ukrainian,Male,1978
13808,638,Blythe Bohnen,American,Female,1977
13811,639,Olaf von Bohr,Austrian,Male,1988
13812,640,Karl Bohrmann,German,Male,1969
13846,641,Bruce Boice,American,Male,1975
13847,642,Charles Boily,French,Male,1982
13848,643,Frédéric Boissonnas,Swiss,Male,1982
13849,644,Richard Boix,Spanish,Male,1953
13850,645,Jakob (Jack) Friedrich Bollschweiler,German,Male,1949
13852,646,Roger Bolomey,American,Male,1966
13853,647,Jay Bolotin,American,Male,1986
13892,648,Ilya Bolotowsky,American,Male,1976
13899,649,Christian Boltanski,French,Male,1998
14196,651,David Bomberg,British,Male,1960
14206,652,Camille Bombois,French,Male,1939
14207,653,Giorgio Bompadre,Italian,Male,1965
14209,654,Bona,Italian,Female,1964
14210,655,Claus Bonderup,Danish,Male,0
14211,656,Emile Bondonneau,French,Male,1982
14214,657,Muirhead Bone,British,Male,1940
14215,658,Antonio Bonet,Spanish,Male,0
14216,659,Rodolfo Bonetto,Italian,Male,2001
14220,660,Marcelo Bonevardi,Argentine,Male,1964
14221,661,Felix Bonfils,French,Male,1976
14222,662,Dusti Bongé,American,Female,1963
14223,664,Paolo Boni,Italian,Male,1966
14227,665,Pierre Bonnard,French,Male,1990
15128,666,William Bonnell,American,Male,1981
15133,668,Maria Bonomi,Brazilian,Female,1958
15134,669,Robert Bononno,American,Male,1974
15136,670,Lee Bontecou,American,Female,1969
15190,671,Fabio Bonzi,Italian,Male,1965
15191,673,Peter Booth,Australian,Male,1987
15195,674,Osvaldo Borda,Argentine,Male,1969
15196,675,Enrico Bordoni,Italian,Male,1949
15207,676,Paul-Émile Borduas,Canadian,Male,1955
15209,677,Wendela Boreel,British,Female,1980
15210,678,Francisco Borès,Spanish,Male,1949
15211,679,Norah Borges de Torre,Argentine,Female,1942
15212,682,Jonathan Borofsky,American,Male,1982
15223,684,Arnold von Borsig,German,Male,1943
15228,685,Elena Borstein,American,Female,1978
