,Id,Name,Nationality,Gender,DateAcquired
132044,48296,Hermann Bek-Gran,German,Male,1943
132045,48314,Gillian Ayres,British,Female,2015
132046,48315,Gordon Cheung,0,Male,2015
132047,48316,Ian Davenport,0,Male,2015
132048,48317,Marie Harnett,0,Female,2015
132049,48318,Ben Johnson,British,Male,2015
132050,48320,Edmund de Waal,0,Male,2015
132051,48321,Ian McKeever,British,Male,2015
132052,48322,Paul Winstanley,British,Male,2015
132053,48323,Richard Woods,British,Male,2015
132054,48324,Catherine Yass,British,Female,2015
132055,48339,Vincent Kohler,Swiss,Male,2015
132056,48340,David Hominal,Swiss,Male,2015
132057,48355,"Brigada Inti Peredo, Juventud Socialista",Chilean,0,0
132058,48356,"Brigadas Ramona Parra, Juventudes Comunistas de Chile",Chilean,0,2015
132059,48358,Analisa Russo,American,Female,0
132060,48359,S. Brett Walker,American,Male,0
132061,48360,Jennifer A. Lewis,American,Female,0
132062,48361,Michael Bell,American,Male,0
132063,48387,Ina Barfuß,0,0,0
132064,48388,Thomas Wachweger,German,0,0
132065,48389,Wilhelm Schürmann,German,0,0
132066,48390,Jiri Georg Dokoupil,Czech,0,0
132067,48391,Ilona Weber,0,0,0
132068,48392,Wolfgang Weber,0,0,0
132069,48421,Luis Claramunt,Catalan,0,0
132070,48422,Sven-Åke Johansson,Swedish,0,0
132071,48440,Werner David Feist,German,Male,2016
132073,48461,Alvin Baltrop,American,Male,2017
132079,48464,Max Abramovitz,American,Male,0
132080,48471,Cameron Rowland,American,male,2016
132082,48501,Grega Košak,Slovenian,Female,2015
132084,48522,Vincent Desiderio,American,Male,2015
132085,48525,Tom Finkelpearl,American,Male,2015
132086,48527,Robert Atkins,0,Male,2015
132087,48529,Perry Bard,0,0,2015
132088,48530,Jo Babcock,0,0,2015
132089,48531,Roger Boyce,0,Male,2015
132090,48532,Lee Roy Champagne,0,0,0
132091,48533,Nancy Evans,0,0,2015
132092,48534,Jeff Goodman,0,0,2015
132093,48536,C K Kuebel,0,0,2015
132094,48538,Dona Ann McAdams,American,Female,2015
132095,48539,Tom Sarrantonio,0,0,2015
132096,48540,Lori Seid,0,0,2015
132097,48542,Janice Yudell,0,Female,2015
132098,48543,John Zax,0,Male,2015
132099,48556,Park McArthur,American,Female,2016
132107,48559,Hisao Suzuki,0,Male,0
132108,48578,François Blanciak,French,Male,2015
132110,48581,Tabor Robak,American,Male,2015
132111,48584,Sondra Perry,American,Female,2017
132116,48589,CCMC,0,0,0
132117,48590,Paul Dutton,0,0,0
132118,48591,John Oswald,0,0,0
132119,48593,Ishan Clemenco,0,0,2013
132120,48594,Coconut,0,0,2013
132121,48596,The Diodes,0,0,0
132122,48598,Amerigo Marras,0,0,0
132123,48599,Bruce Eves,0,0,0
132124,48600,Alison Rossiter,American,Female,2015
132127,48602,John Fekner City Squad,0,0,0
132128,48603,F. V. Holi,0,0,0
132129,48611,Oldřich Menhart,Czech,Male,1953
132130,48621,Park Seo Bo,Korean,Male,2015
132131,48624,Shigetaka Kurita,Japanese,Male,2016
132132,48625,"Nokia Corporation, Finland",0,0,0
132133,48628,Evan Holloway,American,Male,2013
132135,48629,Steven Hull,0,0,0
132136,48637,Matt Keegan,American,Male,2013
132188,48640,Sean Landers,American,Male,2013
132189,48655,Sharon Lockhart,American,Female,2020
132190,48656,Balam Garcia,0,0,0
132191,48658,Aaron Curry,American,Male,2015
132197,48659,Roger Herman,German,Male,2015
132205,48660,Shio Kusaka,Japanese,Female,2015
132211,48661,Liza Lou,American,Female,2015
132220,48662,Rita McBride,American,Female,2015
132227,48664,Tom Sachs,American,Male,2015
132236,48665,Juan Uslé,Spanish,Male,2015
132257,48669,Petr Tučný,Czech,Male,1953
132258,48691,Unidentified designer,Czechoslovakian,0,1999
132259,48696,Jeffrey Gibson,American,Male,2021
132265,48733,Ugo Gregoretti,Italian,Male,0
132266,48740,Colin Lowe,0,0,0
132267,48742,Ralph Lundsten,0,0,0
132268,48743,Leo Nilson,0,0,0
132269,48744,Kim Schoenstadt,0,0,0
132270,48745,Jean-Claude Moineau,0,0,2013
132271,48747,Jennifer Moon,0,Female,2013
132272,48748,Julio César Morales,Mexican,Male,2013
132273,48751,OJO,0,0,2013
132274,48752,Kristin Oppenheim,0,Female,2013
132275,48753,Fuller Fabrics,0,0,2016
132276,48754,The Nichemakers,0,0,0
132277,48756,Poptastic,0,0,0
132278,48757,Chris Fitzpatrick,0,0,0
132279,48758,Thomas Dimuzio,0,0,0
132280,48762,Jean-Jacques Palix,0,0,0
132281,48763,Jeff Rian,0,0,0
132282,48766,Stephanie Taylor,0,Female,2013
132283,48767,Thomas Cristoffersen,0,Male,0
132284,48768,David Zahle,0,Male,0
132285,48769,"IDÉE Ltd., Japan",0,0,0
132286,48774,Luc Delahaye,French,Male,2015
132287,48778,Lita Albuquerque,0,Female,0
132288,48779,Robert Kramer,0,Male,0
132289,48780,Harold Budd,0,0,0
132290,48787,Terence Conran,British,Male,2015
132291,48788,Marian Mahler,British,Female,2015
132296,48789,John Lacey,British,Male,2015
132297,48790,Barbara Brown,British,Female,2015
132298,48791,Lucienne Day,British,Female,2015
132302,48792,Edinburgh Weavers,0,0,0
132303,48793,"David Whitehead Ltd., U.K.",British,0,0
132304,48794,"Heal Fabrics, London, U.K.",British,0,0
132305,48795,Hammer Prints Ltd.,0,0,0
132306,48797,Ostengruppe,Russian,0,0
132307,48798,Natasha Agapova,Russian,Female,0
132308,48799,Peter Bankov,Russian,Male,2016
132319,48813,Željko Koprolčec,Croatian,0,0
132320,48815,Amy O'Neill,American,Female,2015
132324,48842,Marguerita Mergentime,American,Female,2016
132327,48847,Unika-vaev,0,0,2016
132329,48848,Vuokko Eskolin,Finnish,Female,2016
132332,48849,Printext,0,0,0
132333,48850,Barbara Degerman,0,Female,2016
132335,48851,Helga Nykopp,0,Female,2016
132337,48852,A B Norna Hemslojd,Swedish,0,2016
132338,48853,Calvin Marcus,American,Male,2015
132339,48858,Wilhelm Thiele,Austrian,Male,0
132340,48859,Osvaldo Peruzzi,Italian,Male,2015
132345,48860,Tato (Guglielmo Sansoni),Italian,Male,2015
132353,48861,Tulio Crali,Italian,Male,2015
132357,48862,László Kistamás,0,Male,2015
132358,48863,Pierre Daura,Spanish,Male,2015
132362,48870,Hubert Hilscher,Polish,Male,2015
132363,48886,Lav Diaz,Filipino,Male,2016
132364,48895,Rafael Barradas,Uruguayan,Male,2016
132365,48906,Hans Scharoun,German,Male,2015
132366,48907,E. Trautvetter,German,0,2015
132367,48908,Marcel Jancou,Romanian,0,2015
