,Name
Isabel Bishop,10
Amanda Williams,10
Carol Bove,10
Yuki Kimura,10
Ingeborg Gabriel,10
Maria Lassnig,10
Pushpamala N,10
JoAnn Verburg,10
Ann Hamilton,10
Alessandra Sanguinetti,10
Dóra Maurer,10
Abby Leigh,10
Nancy Graves,10
Jane Hammond,10
Birgit Skiöld,10
Lois Conner,10
Gertrudes Altschul,10
Lee Krasner,10
Rogi André (Rozsa Klein),10
Lois Long,10
Liza Lou,9
Laura Gilpin,9
Johanna Calle,9
Martine Franck,9
Alice Neel,9
Aenne Biermann,9
Yvonne Rainer,9
Pae White,9
Katalin Ladik,9
Cristina Iglesias,9
Alice Aycock,9
Mary E. Frey,9
Barbara Brändli,9
Charlotte Posenenske,9
Judith Shea,9
Paz Errázuriz,9
Lois Lane,9
Jane Wilson,9
Renée Sintenis,9
Anne Truitt,9
Valentina Kulagina,9
Nancy Rubins,9
Ming Smith,8
Sarah Sze,8
Christiane Baumgartner,8
Nicola Tyson,8
Yvonne Jacquette,8
Michal Rovner,8
Carmela Gross,8
Susana Solano,8
Atsuko Tanaka,8
Park McArthur,8
Mattia Moreni,8
Ana Mendieta,8
Eileen Gray,8
Elaine Mayes,8
Louise Dahl-Wolfe,8
Hayley Tompkins,8
Hella Fischer-Thorer,8
Dorothy Norman,8
Paula Scher,8
Beatriz Milhazes,8
Gillian Wearing,8
Fernanda Gomes,8
Sheron Rupp,8
Taryn Simon,8
Amy Sillman,8
LaToya Ruby Frazier,8
Karin Sander,7
Ulrike Müller,7
Dorothy Liebes,7
Birgit Megerle,7
Stephanie Syjuco,7
Marianne Strengell,7
Dana Duff,7
Sandra Vásquez de la Horra,7
Sarah Lucas,7
Mimi Smith,7
Kati Horna,7
Ilka Gedő,7
Joan Snyder,7
Nye Ffarrabas (formerly Bici Forbes and Bici Forbes Hendricks),7
Merry Alpern,7
Victoria Cabezas,7
Inka Essenhigh,7
Minnie Evans,7
Mary Beth Edelson,7
Jay DeFeo,7
Rita McBride,7
Kay WalkingStick,7
Jackie Ferrara,7
Irina Rozovsky,7
Merle Spandorfer,7
Beatrice Riese,7
Dana Atchley,7
Emily Belding,7
Julie Zando,7
Rosângela Rennó,7
Jorinde Voigt,7
Toyin Ojih Odutola,7
E. V. Day,7
Ekaterina Turova,7
Nan Hoover,7
Violet Hopkins,7
Catherine Opie,7
Ritva Puotila,7
Grete Wolf-Krakauer,7
Sonia Švecová,7
Julia Jacquette,7
Elena Semenova,7
Nathalie du Pasquier,7
Mai-Thu Perret,7
Shio Kusaka,6
Sue Coe,6
Caroline Slotte,6
Mary Heilmann,6
Eve Aschheim,6
Xenon Straub,6
Paloma Varga Weisz,6
Senga Nengudi,6
Marcia Resnick,6
Dara Birnbaum,6
Sarah Charlesworth,6
Gwen John,6
SEO (Seo Soo-Kyoung),6
Dionne Lee,6
Shelby Hughes,6
Farah Al Qasimi,6
Consuelo Kanaga,6
Hodaka Yoshida,6
Gilda Mantilla,6
